client_num;customer_age;gender;dependent_count;education_level;marital_status;state_cd;zipcode;car_owner;house_owner;personal_loan;contact;customer_job;income;cust_satisfaction_score;card_category;annual_fees;activation_30_days;customer_acq_cost;week_start_date;week_num;qtr;current_year;credit_limit;total_revolving_bal;total_trans_amt;total_trans_vol;avg_utilization_ratio;use_chip;exp_type;interest_earned;delinquent_acc
708082083;24;F;1;Uneducated;Single;FL;91750;no;yes;no;unknown;Businessman;202326;3;Blue;200;0;87;01-01-2023;Week-1;Q1;2023;3544;1661;15149;111;0.469;Chip ;Travel;4393.21;0
708083283;62;F;0;Unknown;Married;NJ;91750;no;no;no;cellular;Selfemployeed;5225;2;Blue;445;1;108;01-01-2023;Week-1;Q1;2023;3421;2517;992;21;0.736;Swipe ;Entertainment;69.44;0
708084558;32;F;1;Unknown;Married;NJ;91750;yes;no;no;unknown;Selfemployeed;14235;2;Blue;140;0;106;01-01-2023;Week-1;Q1;2023;8258;1771;1447;23;0.214;Chip ;Bills;202.58;0
708085458;38;M;2;Uneducated;Single;NY;91750;no;no;no;cellular;Blue-collar;45683;1;Blue;250;1;150;01-01-2023;Week-1;Q1;2023;1438.3;0;3940;82;0;Online ;Grocery;236.4;0
708086958;48;M;4;Graduate;Single;TX;91750;yes;yes;no;cellular;Businessman;59279;1;Blue;320;1;106;01-01-2023;Week-1;Q1;2023;3128;749;4369;59;0.239;Swipe ;Fuel;1004.87;1
708095133;33;F;1;High School;Single;NY;91750;no;yes;no;cellular;Selfemployeed;14254;3;Blue;100;0;94;01-01-2023;Week-1;Q1;2023;33304;1833;1448;29;0.055;Swipe ;Bills;275.12;0
708098133;34;F;3;Graduate;Single;CA;91750;yes;no;no;telephone;Selfemployeed;14975;2;Blue;225;1;75;01-01-2023;Week-1;Q1;2023;2834;1418;1598;39;0.5;Swipe ;Bills;159.8;1
708099183;34;F;2;Uneducated;Single;CA;91750;no;no;no;cellular;Retirees;31982;2;Blue;400;1;75;01-01-2023;Week-1;Q1;2023;5723;1873;2732;63;0.327;Swipe ;Grocery;409.8;0
708100533;48;M;2;High School;Married;NJ;91750;yes;no;no;telephone;Businessman;86668;2;Blue;200;1;64;01-01-2023;Week-1;Q1;2023;2679;2277;4943;85;0.85;Chip ;Food;988.6;0
708103608;53;F;1;Graduate;Married;NJ;91750;yes;yes;no;cellular;Businessman;223196;1;Platinum;95;1;80;01-01-2023;Week-1;Q1;2023;11898;2517;15798;128;0.212;Chip ;Grocery;3791.52;0
708104658;31;F;0;Post-Graduate;Single;CA;91750;no;yes;no;telephone;Businessman;33625;2;Blue;455;1;118;01-01-2023;Week-1;Q1;2023;1438.3;890;2928;48;0.619;Swipe ;Fuel;732;0
708108333;34;F;4;Graduate;Single;NY;91750;no;no;no;cellular;Selfemployeed;14975;3;Blue;485;0;86;01-01-2023;Week-1;Q1;2023;5590;0;1507;32;0;Swipe ;Entertainment;150.7;0
708112008;51;F;2;Graduate;Single;NJ;91750;yes;yes;no;cellular;Selfemployeed;14975;2;Blue;440;1;86;01-01-2023;Week-1;Q1;2023;23510;1049;1661;35;0.045;Swipe ;Grocery;465.08;0
708113208;36;M;1;High School;Single;NJ;91750;yes;no;no;telephone;White-collar;59416;3;Blue;300;1;149;01-01-2023;Week-1;Q1;2023;1688;0;4375;69;0;Chip ;Fuel;525;0
708117933;49;F;4;Graduate;Married;CA;91750;no;yes;no;unknown;Retirees;28122;1;Blue;360;0;70;01-01-2023;Week-1;Q1;2023;1880;0;2469;34;0;Chip ;Bills;419.73;1
708119658;53;F;2;Graduate;Single;FL;91750;yes;no;no;cellular;Govt;29021;1;Blue;340;0;44;01-01-2023;Week-1;Q1;2023;12836;1034;2519;53;0.081;Swipe ;Bills;554.18;0
708121908;49;F;1;Graduate;Married;TX;91750;no;no;no;unknown;Selfemployeed;20632;3;Blue;405;0;71;01-01-2023;Week-1;Q1;2023;22917;0;2045;45;0;Swipe ;Grocery;265.85;0
708123033;47;F;5;Graduate;Married;FL;91750;no;no;no;cellular;Businessman;172101;2;Silver;355;0;78;01-01-2023;Week-1;Q1;2023;11463;0;14511;105;0;Swipe ;Fuel;3047.31;0
708125733;43;F;4;Graduate;Single;FL;91750;no;no;no;cellular;Retirees;57168;2;Blue;220;0;69;01-01-2023;Week-1;Q1;2023;1438.3;0;4311;77;0;Swipe ;Entertainment;1207.08;0
708128733;47;M;3;Graduate;Married;NY;91750;no;no;no;cellular;Govt;89954;2;Blue;125;1;105;01-01-2023;Week-1;Q1;2023;1814;0;5014;99;0;Swipe ;Entertainment;1303.64;0
708129933;34;F;3;Uneducated;Single;TX;91750;yes;yes;yes;telephone;Blue-collar;53762;1;Blue;350;1;77;01-01-2023;Week-1;Q1;2023;2072;1544;4210;64;0.745;Chip ;Entertainment;884.1;0
708132783;37;F;5;Unknown;Married;NJ;91750;yes;yes;no;cellular;Selfemployeed;45476;3;Blue;250;1;92;01-01-2023;Week-1;Q1;2023;16411;1179;3929;71;0.072;Swipe ;Food;785.8;1
708134283;63;M;0;Graduate;Single;TX;91750;yes;yes;yes;cellular;Selfemployeed;14975;2;Blue;125;1;101;01-01-2023;Week-1;Q1;2023;3131;629;1483;31;0.201;Swipe ;Food;311.43;0
708136908;55;M;2;Doctorate;Married;MO;91750;yes;yes;no;cellular;Retirees;72878;2;Blue;110;1;73;01-01-2023;Week-1;Q1;2023;2616;801;4655;68;0.306;Swipe ;Entertainment;605.15;0
708139833;38;F;1;Unknown;Single;NY;91750;no;no;no;cellular;Businessman;25667;3;Blue;460;0;111;01-01-2023;Week-1;Q1;2023;6391;0;2323;44;0;Swipe ;Grocery;441.37;0
708145908;40;M;3;Graduate;Single;MA;91750;no;yes;no;cellular;Blue-collar;47224;1;Blue;320;0;78;01-01-2023;Week-1;Q1;2023;4906;2185;3999;71;0.445;Swipe ;Bills;959.76;0
708147108;55;F;0;Graduate;Single;NY;91750;yes;no;no;unknown;White-collar;25341;2;Blue;320;0;112;01-01-2023;Week-1;Q1;2023;21084;2517;2309;71;0.119;Swipe ;Travel;277.08;0
708148158;33;M;2;Doctorate;Single;NY;91750;no;yes;yes;cellular;Blue-collar;53644;3;Blue;175;0;73;01-01-2023;Week-1;Q1;2023;1827;0;4207;86;0;Swipe ;Fuel;925.54;0
708151008;54;F;1;Uneducated;Married;CA;91750;no;yes;no;cellular;Govt;27423;2;Blue;440;1;86;01-01-2023;Week-1;Q1;2023;6250;644;2433;41;0.103;Swipe ;Fuel;486.6;0
708152358;46;M;3;Graduate;Married;NY;91750;yes;yes;no;cellular;Blue-collar;110014;2;Blue;335;1;101;01-01-2023;Week-1;Q1;2023;18512;1664;8019;57;0.09;Swipe ;Food;721.71;0
708153558;44;M;4;Graduate;Unknown;IA;91750;no;no;no;telephone;Businessman;109186;3;Blue;375;0;150;01-01-2023;Week-1;Q1;2023;34516;1802;7936;101;0.052;Swipe ;Fuel;634.88;0
708154833;40;F;3;Graduate;Married;NJ;91750;yes;yes;no;cellular;Govt;25835;2;Blue;250;0;82;01-01-2023;Week-1;Q1;2023;1438.3;811;2336;46;0.564;Chip ;Fuel;630.72;0
708155733;44;F;3;Graduate;Married;CA;91750;yes;yes;no;unknown;Selfemployeed;11345;2;Blue;335;0;88;01-01-2023;Week-1;Q1;2023;14734;1634;1289;23;0.111;Swipe ;Bills;296.47;0
